State,Year,Region,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
New Jersey,1947,Northeast,0.058578431606292725,0.0,0.0,0.0,0.0,0.9408565163612366,0.0
New Mexico,1911,West,0.2936629056930542,0.0,0.6529756188392639,0.011154389008879662,0.0,0.0,0.04209742695093155
New York,1777,Northeast,0.0,0.0,0.0,0.0,0.9987847805023193,0.0,0.0
New York,1821,Northeast,0.0,0.0,0.0,0.0,0.7626990079879761,0.0,0.23538723587989807
New York,1846,Northeast,0.0,0.0,0.011623334139585495,0.0,0.3851492404937744,0.022562414407730103,0.580295741558075
New York,1894,Northeast,0.0,0.0,0.0,0.0,0.035033781081438065,0.0,0.9647889733314514
New York,1938,Northeast,0.0,0.0,0.0,0.0,0.0,0.0,0.9997634887695312
North Carolina,1776,South,0.0,0.0,0.0,0.0,0.9987285733222961,0.0,0.0
North Carolina,1868,South,0.0,0.0,0.21866163611412048,0.0,0.6106376647949219,0.16788603365421295,0.0
North Carolina,1971,South,0.11326101422309875,0.0491112619638443,0.24833747744560242,0.0,0.14483226835727692,0.4442821145057678,0.0
North Dakota,1889,Midwest,0.0,0.0,0.9997897148132324,0.0,0.0,0.0,0.0
North Dakota,1981,Midwest,0.0,0.0,0.9996867179870605,0.0,0.0,0.0,0.0
Ohio,1802,Midwest,0.0,0.0,0.0,0.0,0.9973856806755066,0.0,0.0
Ohio,1851,Midwest,0.04956936091184616,0.1051073744893074,0.7608401775360107,0.0,0.0,0.07552928477525711,0.0
Oklahoma,1907,South,0.03263675794005394,0.0,0.09530536085367203,0.0,0.0,0.0,0.8696807622909546
Pennsylvania,1776,Northeast,0.0,0.0,0.0,0.0,0.9984835982322693,0.0,0.0
Pennsylvania,1790,Northeast,0.0,0.0,0.0,0.0,0.9964202642440796,0.0,0.0
Pennsylvania,1839,Northeast,0.0,0.0,0.0,0.0,0.9977179169654846,0.0,0.0
Pennsylvania,1874,Northeast,0.01703023724257946,0.023442549630999565,0.21905040740966797,0.0,0.5287302136421204,0.0,0.2116243541240692
Pennsylvania,1969,Northeast,0.03545137867331505,0.0,0.2718237340450287,0.0,0.3835687041282654,0.27903106808662415,0.027708349749445915
Rhode Island,1843,Northeast,0.0,0.0,0.0,0.9995324611663818,0.0,0.0,0.0
Rhode Island,1986,Northeast,0.0,0.0,0.2704664170742035,0.6021583676338196,0.0,0.12110916525125504,0.0
South Carolina,1776,South,0.0,0.0,0.0,0.0,0.9984340071678162,0.0,0.0
South Carolina,1778,South,0.0,0.0,0.0,0.0,0.9985057711601257,0.0,0.0
South Carolina,1790,South,0.0,0.0,0.0,0.0,0.9982289671897888,0.0,0.0
South Carolina,1861,South,0.0,0.0,0.0,0.0,0.9989491105079651,0.0,0.0
South Carolina,1865,South,0.0,0.0,0.0,0.0,0.9555639624595642,0.0,0.04238520935177803
South Carolina,1868,South,0.04347173869609833,0.0,0.11199671775102615,0.0,0.7601291537284851,0.0,0.08381795138120651
South Carolina,1896,South,0.0,0.0,0.0,0.0,0.0,0.0,0.9999327063560486
South Dakota,1889,Midwest,0.0,0.0,0.9988555312156677,0.0,0.0,0.0,0.0
Texas,1845,South,0.0,0.0,0.0,0.0,0.9986723065376282,0.0,0.0
Texas,1866,South,0.10381467640399933,0.0,0.09215684980154037,0.0,0.8029914498329163,0.0,0.0
Texas,1869,South,0.18031102418899536,0.0,0.0,0.0,0.8189733624458313,0.0,0.0
Texas,1876,South,0.9999743103981018,0.0,0.0,0.0,0.0,0.0,0.0
Utah,1895,West,0.3098064363002777,0.0,0.676145076751709,0.0,0.0,0.0,0.0
Washington,1889,West,0.0,0.0193780604749918,0.7302125692367554,0.0,0.10661757737398148,0.11379043012857437,0.0291611198335886
West Virginia,1861,South,0.0,0.0,0.0,0.0,0.2958100736141205,0.7031712532043457,0.0
West Virginia,1872,South,0.022391071543097496,0.0,0.05076631158590317,0.0,0.0,0.9177181720733643,0.0
Wyoming,1889,West,0.0,0.0,0.9400894045829773,0.0,0.059602294117212296,0.0,0.0
